text1,text2
Le chat dort sur le canapé,Un chat est couché sur le sofa
Je vais au travail en voiture,Je prends ma voiture pour aller travailler
La pluie tombe sans arrêt,Il pleut depuis ce matin
J'adore manger des pizzas,Les pizzas sont mes plats préférés
Nous partons demain,Nos vacances commencent demain
Elle lit un livre,Elle est plongée dans sa lecture
Ils jouent dans le jardin,Les enfants s'amusent dehors
Il boit un café,Il prend sa boisson préférée
Le soleil se lève tôt,Le jour commence à l'aube
Nous avons regardé un film hier,"Hier soir, nous avons vu un film"
